partition_count,balance_difference,cut_size
10,3,18190
10,5,18163
10,7,18154
10,9,18135
10,11,18106
10,13,18068
10,15,18046
10,17,18015
10,19,17961
10,21,17610
10,23,15857
10,25,16882
10,27,16803
10,29,16340
10,31,16264
10,33,15660
10,35,15587
10,37,15476
10,39,15424
10,41,15299
10,43,13309
10,45,13261
10,47,14270
10,49,14246
10,51,12853
10,53,14037
10,55,13939
10,57,13702
10,59,13576
20,3,19218
20,5,19202
20,7,19169
20,9,17417
20,11,17052
20,13,17581
20,15,16358
20,17,16991
20,19,16628
20,21,16541
20,23,16304
20,25,16031
20,27,16019
20,29,15731
20,31,15418
20,33,15136
20,35,15090
20,37,16295
20,39,14875
20,41,15019
20,43,15003
20,45,14005
20,47,14025
20,49,13915
20,51,13845
20,53,13767
20,55,13652
20,57,13599
20,59,13557
30,3,19549
30,5,18173
30,7,17386
30,9,18388
30,11,17084
30,13,16897
30,15,15515
30,17,17431
30,19,15866
30,21,14874
30,23,16696
30,25,16546
30,27,17314
30,29,16128
30,31,16077
30,33,15962
30,35,15297
30,37,15240
30,39,16282
30,41,15164
30,43,14961
30,45,14994
30,47,13996
30,49,13958
30,51,15285
30,53,13831
30,55,13801
30,57,13866
30,59,13769
40,3,19053
40,5,18002
40,7,17698
40,9,17191
40,11,16329
40,13,16902
40,15,16554
40,17,15703
40,19,15973
40,21,16893
40,23,15510
40,25,16741
40,27,16654
40,29,16230
40,31,16140
40,33,16105
40,35,16178
40,37,15317
40,39,16142
40,41,16252
40,43,15216
40,45,15171
40,47,15100
40,49,15188
40,51,13860
40,53,13795
40,55,13873
40,57,13788
40,59,13753
50,3,18982
50,5,18273
50,7,17716
50,9,18590
50,11,18549
50,13,18119
50,15,15968
50,17,18468
50,19,16236
50,21,15080
50,23,15594
50,25,15252
50,27,16649
50,29,17402
50,31,16149
50,33,16061
50,35,16058
50,37,13749
50,39,15302
50,41,15299
50,43,15255
50,45,15265
50,47,15199
50,49,15158
50,51,15240
50,53,13925
50,55,13850
50,57,13809
50,59,13800
60,3,18913
60,5,18599
60,7,17643
60,9,17347
60,11,16836
60,13,18138
60,15,16085
60,17,16608
60,19,15278
60,21,17263
60,23,15815
60,25,17176
60,27,17160
60,29,16653
60,31,14674
60,33,16159
60,35,16893
60,37,16145
60,39,16127
60,41,15252
60,43,15191
60,45,15212
60,47,15358
60,49,15249
60,51,15206
60,53,13905
60,55,13815
60,57,13763
60,59,13688
70,3,18866
70,5,18284
70,7,18258
70,9,16939
70,11,17445
70,13,18114
70,15,16983
70,17,15224
70,19,15352
70,21,16153
70,23,15636
70,25,17190
70,27,16745
70,29,16258
70,31,16731
70,33,16790
70,35,16976
70,37,16111
70,39,16171
70,41,16184
70,43,15158
70,45,15231
70,47,15177
70,49,15241
70,51,15212
70,53,13901
70,55,13843
70,57,13842
70,59,13793
80,3,19388
80,5,18247
80,7,17775
80,9,17941
80,11,16818
80,13,16485
80,15,16100
80,17,18592
80,19,17627
80,21,17297
80,23,15808
80,25,14560
80,27,17267
80,29,16759
80,31,16841
80,33,16819
80,35,16163
80,37,16179
80,39,15335
80,41,15295
80,43,15233
80,45,15216
80,47,15259
80,49,15292
80,51,15219
80,53,13992
80,55,13861
80,57,13863
80,59,13840
90,3,19110
90,5,18125
90,7,17846
90,9,18080
90,11,16845
90,13,16261
90,15,16010
90,17,18593
90,19,16401
90,21,17574
90,23,15647
90,25,15475
90,27,14877
90,29,16842
90,31,16744
90,33,16839
90,35,16067
90,37,16157
90,39,16257
90,41,15244
90,43,15202
90,45,15341
90,47,15268
90,49,15246
90,51,15209
90,53,15233
90,55,13808
90,57,13923
90,59,13889
100,3,19037
100,5,18326
100,7,17519
100,9,18630
100,11,16922
100,13,17272
100,15,15978
100,17,17884
100,19,16461
100,21,15855
100,23,17218
100,25,17249
100,27,15009
100,29,16741
100,31,16819
100,33,16826
100,35,16129
100,37,16187
100,39,16168
100,41,15245
100,43,15180
100,45,15275
100,47,15306
100,49,15288
100,51,15249
100,53,15219
100,55,13796
100,57,13798
100,59,13826
110,3,18988
110,5,18131
110,7,17865
110,9,17379
110,11,16459
110,13,16030
110,15,16997
110,17,18101
110,19,15512
110,21,17270
110,23,15776
110,25,17665
110,27,15176
110,29,16774
110,31,16734
110,33,16149
110,35,16045
110,37,16151
110,39,16106
110,41,16209
110,43,15147
110,45,15214
110,47,15271
110,49,15332
110,51,15337
110,53,15221
110,55,13784
110,57,13905
110,59,13788
120,3,18740
120,5,18088
120,7,18447
120,9,16702
120,11,16838
120,13,16504
120,15,16987
120,17,15723
120,19,17620
120,21,17225
120,23,15780
120,25,15235
120,27,17215
120,29,16803
120,31,16195
120,33,16853
120,35,16872
120,37,16207
120,39,16218
120,41,13454
120,43,15191
120,45,15227
120,47,15284
120,49,15265
120,51,15200
120,53,15232
120,55,15264
120,57,13817
120,59,13806
130,3,19105
130,5,17926
130,7,17276
130,9,17031
130,11,16455
130,13,17404
130,15,16134
130,17,18073
130,19,15522
130,21,16180
130,23,15736
130,25,15704
130,27,14569
130,29,16767
130,31,16802
130,33,16884
130,35,13998
130,37,16154
130,39,16247
130,41,16235
130,43,16216
130,45,15247
130,47,15275
130,49,15239
130,51,15244
130,53,15211
130,55,13896
130,57,13859
130,59,13891
140,3,18873
140,5,18420
140,7,17686
140,9,17371
140,11,16551
140,13,17347
140,15,17018
140,17,17868
140,19,16468
140,21,17880
140,23,17253
140,25,14918
140,27,16829
140,29,16760
140,31,16798
140,33,16859
140,35,16901
140,37,15399
140,39,16211
140,41,16178
140,43,15191
140,45,15242
140,47,15213
140,49,15214
140,51,15223
140,53,15228
140,55,13874
140,57,13878
140,59,13793
150,3,18844
150,5,18398
150,7,17509
150,9,16714
150,11,16468
150,13,16441
150,15,16901
150,17,16481
150,19,16309
150,21,17569
150,23,15865
150,25,17671
150,27,16786
150,29,14872
150,31,16811
150,33,16167
150,35,16150
150,37,16155
150,39,16238
150,41,16275
150,43,15197
150,45,15271
150,47,15246
150,49,15295
150,51,15194
150,53,15198
150,55,13862
150,57,13799
150,59,13811
